iso3,date,year,month,exchange_rate,depreciation,log_depreciation,is_structural_break
CHL,2013-02-28,2013,2,473.3,0.0040305473058974695,0.004022446410171703,False
CHL,2013-03-31,2013,3,472.54,-0.001605746883583281,-0.0016070374768728153,False
CHL,2013-04-30,2013,4,471.54,-0.002116222965251602,-0.002118465329190838,False
CHL,2013-05-31,2013,5,492.8,0.04508631293209486,0.044099478113171484,False
CHL,2013-06-30,2013,6,503.86,0.022443181818181834,0.02219503948688794,False
CHL,2013-07-31,2013,7,509.89,0.011967610050410693,0.01189656447403391,False
CHL,2013-08-31,2013,8,511.65,0.0034517248818373147,0.0034457813525324956,False
CHL,2013-09-30,2013,9,502.97,-0.016964721977914543,-0.01711027135880605,False
CHL,2013-10-31,2013,10,508.58,0.011153746744338555,0.011092002407362776,False
CHL,2013-11-30,2013,11,528.19,0.038558338904400635,0.03783353887985108,False
CHL,2013-12-31,2013,12,523.76,-0.008387133417898984,-0.008422503328336309,False
CHL,2014-01-31,2014,1,547.22,0.044791507560714816,0.04381735121518281,False
CHL,2014-02-28,2014,2,563.32,0.02942143927488039,0.02899693498183088,False
CHL,2014-03-31,2014,3,550.53,-0.022704679400695982,-0.02296639973915678,False
CHL,2014-04-30,2014,4,560.56,0.018218807331117137,0.018054833471585423,False
CHL,2014-05-31,2014,5,554.04,-0.011631225916940213,-0.011699397755380602,False
CHL,2014-06-30,2014,6,550.6,-0.006208937982816964,-0.006228293598390758,False
CHL,2014-07-31,2014,7,570.51,0.036160552124954615,0.03552210492378748,False
CHL,2014-08-31,2014,8,593.28,0.03991165799021923,0.03913576530514119,False
CHL,2014-09-30,2014,9,601.66,0.014124865156418531,0.014026038767638629,False
CHL,2014-10-31,2014,10,576.65,-0.04156832762689888,-0.042457005033126535,False
CHL,2014-11-30,2014,11,598.94,0.03865429636694717,0.03792592948155013,False
CHL,2014-12-31,2014,12,607.38,0.014091561759107751,0.013993198685217622,False
CHL,2015-01-31,2015,1,626.48,0.03144654088050314,0.03096222560396689,False
CHL,2015-02-28,2015,2,617.67,-0.01406269952751893,-0.014162516185919655,False
CHL,2015-03-31,2015,3,626.87,0.014894684864086072,0.014784848355843695,False
CHL,2015-04-30,2015,4,606.82,-0.03198430296552712,-0.03250697589233366,False
CHL,2015-05-31,2015,5,617.45,0.017517550509212,0.017365886843558827,False
CHL,2015-06-30,2015,6,634.58,0.027743137096121195,0.02736526917308959,False
CHL,2015-07-31,2015,7,672.19,0.05926754703898651,0.057577675918584044,False
CHL,2015-08-31,2015,8,690.12,0.026674005861437866,0.026324456858158114,False
CHL,2015-09-30,2015,9,704.68,0.021097780096215102,0.020878303545276325,False
CHL,2015-10-31,2015,10,690.34,-0.02034966225804613,-0.02055956920764607,False
CHL,2015-11-30,2015,11,712.63,0.03228843758148159,0.03177812178876593,False
CHL,2015-12-31,2015,12,707.34,-0.007423206993811604,-0.00745089610796815,False
