iso3,date,year,month,dep_1m,dep_mean_3m,dep_vol_3m,dep_cum_3m,dep_mean_6m,dep_vol_6m,dep_cum_6m,dep_mean_12m,dep_vol_12m,dep_cum_12m,dep_skew_6m,dep_kurt_6m,dep_max_6m,dep_es90_6m,dep_skew_12m,dep_kurt_12m,dep_max_12m,dep_es90_12m,extreme_count_3m,extreme_count_6m,extreme_count_12m,target,macro_current_account_pct_gdp,macro_exports_vol_pct,macro_fiscal_balance_pct_gdp,macro_gdp_growth_pct,macro_gdp_usd_bn,macro_govt_gross_debt_pct_gdp,macro_gross_savings_pct_gdp,macro_imports_vol_pct,macro_inflation_avg_pct,macro_inflation_eop_pct,macro_investment_pct_gdp
LKA,2018-04-30,2018,4,0.0107288143743289,0.0083376732058705,0.0020710836411833,0.0252178278733834,0.0043677755887325,0.0059114101260268,0.0264053133563775,0.0031105915145987,0.0050594852612164,0.0378268597761684,-1.188635967028572,1.245696047301399,0.0107288143743289,0.0107288143743289,-0.6910889049622089,0.0841730587376445,0.0107288143743289,0.0089529254893881,0.0,0.0,0.0,,-1.981,9.116,-4.997,5.054,88.0,75.0,34.473,8.274,3.985,4.408,36.453
LKA,2018-05-31,2018,5,0.0028170729463943,0.0068843519865195,0.0039605742703598,0.0207797675238485,0.0046474971151555,0.0057659763424814,0.0281259999011476,0.003016183669831,0.005052964475554,0.0366557377049181,-1.4525237512254956,2.5740855400954565,0.0107288143743289,0.0107288143743289,-0.6270196259647994,0.0340329770688342,0.0107288143743289,0.0089529254893881,0.0,0.0,0.0,,-1.981,9.116,-4.997,5.054,88.0,75.0,34.473,8.274,3.985,4.408,36.453
LKA,2018-06-30,2018,6,0.0010557277500158,0.0048672050235796,0.0051521289153897,0.0146461716007628,0.0058102376535724,0.0034448312660535,0.0353413828025024,0.0025522484140263,0.004946153114793,0.0309224154778189,-0.077509321446456,-0.3702473970131178,0.0107288143743289,0.0107288143743289,-0.3788670524949572,0.0592816797784365,0.0107288143743289,0.0089529254893881,0.0,0.0,0.0,,-1.981,9.116,-4.997,5.054,88.0,75.0,34.473,8.274,3.985,4.408,36.453
LKA,2018-07-31,2018,7,0.0091736916368259,0.0043488307777453,0.0042702512756648,0.0130850215578075,0.0063432519918079,0.0037125506780815,0.0386328252525554,0.0031984893772475,0.0052799450205204,0.0389057802167207,-0.4902639704291853,-1.1975832980905026,0.0107288143743289,0.0107288143743289,-0.5382454022612566,-0.2677486449263916,0.0107288143743289,0.0099512530055774,0.0,0.0,0.0,,-1.981,9.116,-4.997,5.054,88.0,75.0,34.473,8.274,3.985,4.408,36.453
LKA,2018-08-31,2018,8,0.0110469874214742,0.0070921356027719,0.0053109296830035,0.0213992029856411,0.0069882437946457,0.0041916346774086,0.0426236409727269,0.0046030439822761,0.0048940667575754,0.0565184676284882,-0.618066823359827,-1.6437535545920994,0.0110469874214742,0.0110469874214742,-0.6102270656044672,0.4454638816866651,0.0110469874214742,0.0108879008979015,0.0,0.0,0.0,,-1.981,9.116,-4.997,5.054,88.0,75.0,34.473,8.274,3.985,4.408,36.453
LKA,2018-09-30,2018,9,0.0480903928210907,0.0227703572931303,0.0219477893790486,0.0693897074945861,0.0138187811583549,0.0173048205639679,0.0850521726586415,0.0084670123069462,0.0133728398996577,0.1054224638679859,2.1241688349374583,4.8451087664123005,0.0480903928210907,0.0480903928210907,2.6509232745753413,8.361316224810091,0.0480903928210907,0.0295686901212824,0.0,0.0,0.0,,-1.981,9.116,-4.997,5.054,88.0,75.0,34.473,8.274,3.985,4.408,36.453
LKA,2018-10-31,2018,10,0.0303589672077775,0.0298321158167808,0.0185273217220198,0.0918390795241586,0.017090473297263,0.0184233010987065,0.1061258174173891,0.0107291244429978,0.0146393463472029,0.1353334162378745,1.1696000468228185,0.2355649611078829,0.0480903928210907,0.0480903928210907,1.8294536814474096,3.4999673162482927,0.0480903928210907,0.0392246800144341,0.0,0.0,0.0,,-1.981,9.116,-4.997,5.054,88.0,75.0,34.473,8.274,3.985,4.408,36.453
LKA,2018-11-30,2018,11,0.030371117159337,0.0362734923960684,0.0102337377651813,0.1127073876127895,0.0216828139994202,0.0175681422007845,0.1365184388639382,0.0131651555572878,0.0153149854773555,0.1684841563630776,0.4308747976044164,-0.988610315129504,0.0480903928210907,0.0480903928210907,1.2768914938985194,1.2203015969562625,0.0480903928210907,0.0392307549902138,0.0,0.0,0.0,,-1.981,9.116,-4.997,5.054,88.0,75.0,34.473,8.274,3.985,4.408,36.453
LKA,2018-12-31,2018,12,0.0171295281072976,0.0259532041581374,0.0076415300295787,0.079837719948735,0.0243617807256338,0.0148013016379574,0.1547673434775984,0.0150860091896031,0.0141009548813067,0.1955784182112692,0.6985671163362666,-0.3140532685324985,0.0480903928210907,0.0480903928210907,1.4151303055562858,1.441610884099428,0.0480903928210907,0.0392307549902138,0.0,0.0,0.0,,-1.981,9.116,-4.997,5.054,88.0,75.0,34.473,8.274,3.985,4.408,36.453
LKA,2019-01-31,2019,1,-0.0156924846470503,0.0106027202065281,0.0237152539281052,0.0315748364742436,0.0202174180116544,0.0217531805556553,0.1263137199163226,0.0132803350017312,0.0165485427327679,0.1698264010374057,-0.6808897653045716,0.9238834320283208,0.0480903928210907,0.0480903928210907,0.5863642191473143,0.9695815605915772,0.0480903928210907,0.0392307549902138,0.0,0.0,0.0,,,,,,,,,,,,
