iso3,date,year,month,dep_1m,dep_mean_3m,dep_vol_3m,dep_cum_3m,dep_mean_6m,dep_vol_6m,dep_cum_6m,dep_mean_12m,dep_vol_12m,dep_cum_12m,dep_skew_6m,dep_kurt_6m,dep_max_6m,dep_es90_6m,dep_skew_12m,dep_kurt_12m,dep_max_12m,dep_es90_12m,extreme_count_3m,extreme_count_6m,extreme_count_12m
ARG,2004-02-29,2004,2,-0.0017193947730398,-0.004197151480093366,0.006815346897468636,-0.012585034013605223,4.212856651878219e-05,0.022896140571895453,-0.0010323468685476955,-0.006006718194091117,0.03322188968027704,-0.07547770700636902,1.9348174165210401,4.008290592917101,0.0444049733570159,0.0444049733570159,-0.2446085291204139,0.11714050088625672,0.0444049733570159,0.04402066849668975,0.0,0.0,0.0
ARG,2004-03-31,2004,3,-0.0217016879090596,-0.0074627934815259325,0.012407783660985914,-0.022375215146299365,-0.0012233626621877677,0.02401709356139574,-0.008726003490401202,-0.0022419437788694413,0.027816690354187226,-0.030716723549487623,1.7524689056108553,3.412522789586472,0.0444049733570159,0.0444049733570159,0.21644433375037783,0.4530867094563261,0.0444049733570159,0.04402066849668975,0.0,0.0,0.0
ARG,2004-04-30,2004,4,-0.0070422535211267,-0.010154445401075364,0.010348300027868221,-0.030261348005502064,0.0005115962477582488,0.022963161871036416,0.001776198934280826,0.0017218274720719338,0.0225707044562668,0.018050541516245744,1.7652538965078854,3.7757807882983827,0.0444049733570159,0.0444049733570159,1.1271602053447052,0.28523398414403384,0.0444049733570159,0.04402066849668975,0.0,0.0,0.0
ARG,2004-05-31,2004,5,0.0425531914893617,0.00460308335305847,0.03367317604283062,0.012745435756114532,0.00020296593648254832,0.022256817723862433,2.220446049250313e-16,0.004365399687039809,0.02541327063750327,0.050000000000000266,1.7219965713518757,3.652265335289847,0.0425531914893617,0.0425531914893617,0.8611469580964657,-0.9291173393249913,0.0444049733570159,0.04402066849668975,0.0,0.0,0.0
ARG,2004-06-30,2004,6,-0.0006802721088434,0.011610221953130535,0.026985537323958517,0.034507042253521414,0.002073714235802298,0.02149425279807048,0.011359724612737043,0.005796805582731417,0.024515686818721464,0.06836363636363707,1.5726104018873426,3.626801751653493,0.0425531914893617,0.0425531914893617,0.829085429128738,-0.8701931775791507,0.0444049733570159,0.04402066849668975,0.0,0.0,0.0
ARG,2004-07-31,2004,7,0.0074880871341047,0.01645366883820767,0.02296887753339593,0.04964539007092217,0.003149611718566149,0.021593058663735457,0.01788170563961522,0.0027844492075431763,0.02147587375838744,0.03135888501742201,1.3314442856822999,2.7786837471716406,0.0425531914893617,0.0425531914893617,1.1452312808399943,0.5422075248532203,0.0444049733570159,0.043479082423188806,0.0,0.0,0.0
ARG,2004-08-31,2004,8,0.0057432432432431,0.0041836860895014686,0.004301707459533614,0.012585034013605334,0.004393384721279965,0.021471091191899973,0.025490871512229063,0.0022177566438993756,0.021283808059537123,0.02443220922229883,1.097265702553306,2.320125082336073,0.0425531914893617,0.0425531914893617,1.2621688981461998,0.8895033090848857,0.0444049733570159,0.043479082423188806,0.0,0.0,0.0
ARG,2004-09-30,2004,9,-0.0053745381256298,0.002618930750572669,0.006977304533778503,0.007828454731109602,0.007114576351851598,0.018303382106447694,0.0426056338028169,0.0029456068448319175,0.020818996088281735,0.03350785340314144,1.9200836149535248,4.012687828594359,0.0425531914893617,0.0425531914893617,1.2700156843542412,1.0180202506614993,0.0444049733570159,0.043479082423188806,0.0,0.0,0.0
ARG,2004-10-31,2004,10,-0.0037149611617696,-0.0011154186813854311,0.0059974562501205865,-0.0033783783783783994,0.007669125078411116,0.017833041735154737,0.046099290780141855,0.004090360663084685,0.019955203377248338,0.04795737122557764,2.0189627854739616,4.349882592167891,0.0425531914893617,0.0425531914893617,1.3478683730861947,1.3000286101103589,0.0444049733570159,0.043479082423188806,0.0,0.0,0.0
ARG,2004-11-30,2004,11,-0.0088135593220339,-0.005967686203144432,0.0026005373063010015,-0.017803157541148806,-0.0008920000568214851,0.0064048497536359095,-0.0054421768707481055,-0.0003445170601694661,0.01562497135816678,-0.0054421768707478835,0.3094117522697155,-1.559956382502341,0.0074880871341047,0.0074880871341047,1.9242548590651072,5.551060901735901,0.0425531914893617,0.0250206393117332,0.0,0.0,0.0
